,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
10464,20600541,0,1610612760,SEA,Seattle,34,21,13,8,8,6,0,13,12,10,1610612762,UTA,Utah,56,18,13,14,1,17,7,21
10465,20600550,0,1610612758,SAC,Sacramento,42,9,5,7,23,11,0,13,7,15,1610612745,HOU,Houston,22,13,3,7,2,11,9,14
10466,20600544,0,1610612764,WAS,Washington,26,17,14,0,0,0,0,16,10,16,1610612759,SAS,San Antonio,50,13,15,21,1,23,11,23
10467,20600548,0,1610612748,MIA,Miami,28,7,8,22,0,0,1,15,10,14,1610612762,UTA,Utah,50,18,10,0,1,20,13,25
10468,20600549,0,1610612753,ORL,Orlando,42,6,11,5,7,12,1,12,6,16,1610612756,PHX,Phoenix,36,8,20,18,1,17,3,20
10469,20600551,0,1610612746,LAC,Los Angeles,28,11,2,8,5,6,2,16,5,22,1610612739,CLE,Cleveland,50,13,5,20,2,10,12,14
10470,20600542,0,1610612755,PHI,Philadelphia,30,11,8,2,5,6,1,19,13,18,1610612766,CHA,Charlotte,22,16,6,17,0,14,8,16
10471,20600545,0,1610612751,NJN,New Jersey,34,6,12,10,5,6,0,17,4,21,1610612750,MIN,Minnesota,30,9,5,11,0,21,6,26
10472,20600546,0,1610612741,CHI,Chicago,48,12,21,46,0,2,2,18,4,7,1610612763,MEM,Memphis,26,7,10,0,1,26,13,33
10473,20600543,0,1610612765,DET,Detroit,32,11,12,10,10,5,2,11,13,12,1610612738,BOS,Boston,30,13,2,5,1,16,12,10
10474,20600553,0,1610612743,DEN,Denver,38,7,10,17,4,3,2,22,9,25,1610612757,POR,Portland,34,19,13,8,1,18,10,32
10475,20600559,0,1610612759,SAS,San Antonio,38,16,7,7,3,6,0,14,12,17,1610612741,CHI,Chicago,38,20,7,17,0,13,4,16
10476,20600562,0,1610612744,GSW,Golden State,54,14,26,17,14,11,1,16,11,12,1610612746,LAC,Los Angeles,30,17,16,6,0,19,6,19
10477,20600561,0,1610612750,MIN,Minnesota,28,22,4,11,14,8,3,20,11,14,1610612765,DET,Detroit,32,12,14,5,0,13,7,19
10478,20600564,0,1610612747,LAL,Los Angeles,44,18,4,10,23,12,0,11,10,16,1610612748,MIA,Miami,42,11,18,3,1,12,8,17
10479,20600555,0,1610612762,UTA,Utah,48,28,10,16,11,14,0,11,7,20,1610612764,WAS,Washington,36,16,14,7,1,14,3,17
10480,20600560,0,1610612751,NJN,New Jersey,32,11,11,27,1,0,1,10,9,14,1610612754,IND,Indiana,32,19,16,6,0,15,15,18
10481,20600563,0,1610612756,PHX,Phoenix,50,16,36,22,14,8,0,13,6,12,1610612763,MEM,Memphis,52,5,22,5,0,20,6,23
10482,20600558,0,1610612737,ATL,Atlanta,44,17,14,14,3,1,1,17,7,26,1610612738,BOS,Boston,44,11,10,3,0,20,7,32
10483,20600557,0,1610612755,PHI,Philadelphia,42,7,24,8,5,3,1,21,7,29,1610612761,TOR,Toronto,40,10,15,25,0,16,3,17
10484,20600556,0,1610612766,CHA,Charlotte,38,14,2,5,11,10,0,13,7,12,1610612749,MIL,Milwaukee,42,14,14,12,0,11,9,14
10485,20600566,0,1610612745,HOU,Houston,18,8,12,13,15,8,1,10,6,14,1610612742,DAL,Dallas,20,17,8,15,1,13,9,18
10486,20600565,0,1610612740,NOK,New Orleans/Oklahoma City,34,10,8,10,3,6,1,17,7,9,1610612753,ORL,Orlando,34,13,4,7,1,17,11,18
10487,20600567,0,1610612760,SEA,Seattle,34,10,8,8,10,13,1,13,6,11,1610612739,CLE,Cleveland,40,15,12,8,1,12,13,12
10488,20600573,0,1610612755,PHI,Philadelphia,38,10,11,4,1,1,0,16,11,18,1610612763,MEM,Memphis,58,9,17,25,1,18,10,20
10489,20600578,0,1610612746,LAC,Los Angeles,36,13,9,23,3,2,0,14,12,18,1610612744,GSW,Golden State,46,19,11,8,0,14,16,16
10490,20600576,0,1610612759,SAS,San Antonio,48,0,18,6,13,11,0,19,15,25,1610612747,LAL,Los Angeles,42,9,10,10,0,17,6,23
10491,20600570,0,1610612751,NJN,New Jersey,32,8,10,23,3,7,2,11,10,14,1610612766,CHA,Charlotte,38,20,4,5,0,14,10,17
10492,20600572,0,1610612741,CHI,Chicago,40,16,6,12,14,4,1,22,5,28,1610612749,MIL,Milwaukee,34,16,20,8,0,26,7,33
10493,20600577,0,1610612757,POR,Portland,34,14,7,25,0,1,1,16,11,17,1610612739,CLE,Cleveland,34,14,5,0,0,16,16,23
10494,20600574,0,1610612737,ATL,Atlanta,30,19,12,28,3,1,0,9,5,12,1610612750,MIN,Minnesota,42,14,8,5,0,11,6,10
10495,20600568,0,1610612758,SAC,Sacramento,34,7,5,7,14,7,2,17,6,5,1610612761,TOR,Toronto,40,17,3,16,1,15,8,8
10496,20600575,0,1610612745,HOU,Houston,34,16,13,15,8,8,1,11,10,15,1610612756,PHX,Phoenix,30,5,16,11,0,18,5,17
10497,20600579,0,1610612754,IND,Indiana,44,22,14,1,2,2,1,19,10,20,1610612748,MIA,Miami,42,8,21,16,1,12,7,10
10498,20600580,0,1610612742,DAL,Dallas,52,20,17,28,5,6,0,19,3,18,1610612747,LAL,Los Angeles,44,11,16,5,0,16,5,24
10499,20600587,0,1610612740,NOK,New Orleans/Oklahoma City,40,16,14,2,1,2,1,15,8,21,1610612759,SAS,San Antonio,36,18,19,22,0,16,11,17
10500,20600591,0,1610612749,MIL,Milwaukee,48,14,10,2,1,1,1,15,13,16,1610612760,SEA,Seattle,44,18,9,31,1,18,8,14
10501,20600584,0,1610612738,BOS,Boston,36,14,10,6,12,14,1,15,3,20,1610612758,SAC,Sacramento,44,12,7,7,1,9,9,12
10502,20600581,0,1610612761,TOR,Toronto,30,12,7,5,8,10,0,12,7,9,1610612762,UTA,Utah,48,10,10,12,1,16,8,13
10503,20600590,0,1610612739,CLE,Cleveland,44,10,8,1,2,2,0,13,8,13,1610612743,DEN,Denver,56,10,14,25,0,14,6,13
10504,20600586,0,1610612737,ATL,Atlanta,46,9,15,0,0,2,1,10,9,11,1610612766,CHA,Charlotte,54,22,8,26,1,13,13,14
10505,20600583,0,1610612753,ORL,Orlando,50,15,11,4,23,12,1,19,10,31,1610612764,WAS,Washington,42,10,26,23,1,8,6,10
10506,20600589,0,1610612756,PHX,Phoenix,36,9,15,15,7,5,2,11,6,17,1610612757,POR,Portland,44,18,0,5,0,14,8,13
10507,20600588,0,1610612750,MIN,Minnesota,24,19,9,8,16,21,1,17,15,21,1610612765,DET,Detroit,38,9,7,7,0,13,11,8
10508,20600582,0,1610612748,MIA,Miami,40,24,4,5,8,6,0,19,15,23,1610612755,PHI,Philadelphia,40,3,17,17,0,17,10,18
