PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,lower body injury,first_name,last_name,id,full_name,is_active
Ben Simmons,19-20,19.5,23.0,82.0,240.0,57,35.4,0.206,101.09,4242,11.4,11.9,3.8,6.4,2.53,4.01,0.7,0.1,90.5,30.0,4.66,3.75,2.9,3.6,5.7,,,,,,,,,0,,,0,,,0,Ben,Simmons,1627732,Ben Simmons,1
Bismack Biyombo,19-20,19.5,27.0,80.0,255.0,53,19.4,0.168,96.39,2059,5.2,0.0,0.0,0.0,1.43,4.17,0.1,,33.3,18.7,1.44,0.31,2.6,0.6,7.1,,,,,,,,,0,,,0,,,0,Bismack,Biyombo,202687,Bismack Biyombo,1
Blake Griffin,19-20,19.5,31.0,81.0,250.0,18,28.5,0.277,98.24,1049,13.9,6.2,3.0,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3.0,Sore_knee,2019-10-22,Pistons,left hamstring injury (out indefinitely),1,hamstring,Leg,1,2019.0,10.0,0,Blake,Griffin,201933,Blake Griffin,1
Blake Griffin,19-20,19.5,31.0,81.0,250.0,18,28.5,0.277,98.24,1049,13.9,6.2,3.0,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3.0,Sore_knee,2019-10-23,Pistons,placed on IL with left hamstring injury,0,hamstring,Leg,1,2019.0,10.0,0,Blake,Griffin,201933,Blake Griffin,1
Blake Griffin,19-20,19.5,31.0,81.0,250.0,18,28.5,0.277,98.24,1049,13.9,6.2,3.0,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3.0,Sore_knee,2019-12-16,Pistons,sore left knee (DTD),0,knee,Leg,1,2019.0,12.0,0,Blake,Griffin,201933,Blake Griffin,1
Blake Griffin,19-20,19.5,31.0,81.0,250.0,18,28.5,0.277,98.24,1049,13.9,6.2,3.0,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3.0,Sore_knee,2020-01-07,Pistons,surgery on left knee (out indefinitely),1,knee,Leg,1,2020.0,1.0,0,Blake,Griffin,201933,Blake Griffin,1
Boban Marjanovic,19-20,19.5,31.0,88.0,290.0,44,9.6,0.258,101.49,892,4.8,0.0,0.0,0.0,0.68,3.98,0.5,0.0,17.3,10.6,1.6,0.45,1.3,2.2,4.3,,,,,,,,,0,,,0,,,0,Boban,Marjanovic,1626246,Boban Marjanovic,1
Bobby Portis,19-20,19.5,25.0,82.0,250.0,66,21.1,0.207,101.25,2959,8.9,1.7,1.1,0.3,1.55,4.12,1.4,0.1,40.6,23.5,1.74,0.73,1.3,3.0,2.6,,,,,,,,,0,,,0,,,0,Bobby,Portis,1626171,Bobby Portis,1
Bogdan Bogdanovic,19-20,19.5,27.0,78.0,220.0,61,28.9,0.221,99.24,3659,12.6,6.7,2.9,2.9,2.24,4.3,4.1,1.9,48.4,30.8,3.27,2.37,0.3,0.3,0.8,,,,,,,,,0,,,0,,,0,Bogdan,Bogdanovic,203992,Bogdan Bogdanovic,1
Bojan Bogdanovic,19-20,19.5,31.0,80.0,226.0,63,33.1,0.252,99.45,4328,14.8,9.1,4.6,2.8,2.42,4.11,4.1,2.3,44.4,35.8,2.54,1.89,0.4,1.0,0.9,Jazz,2019-10-25,2019-10-26,1.0,Sprained_ankle,2019-10-25,Jazz,placed on IL with sprained left ankle,0,ankle,Leg,1,2019.0,10.0,0,Bojan,Bogdanovic,202711,Bojan Bogdanovic,1
